Account_ID,Account_Name,Domain,Market,Country,Player_Type,Residential_Operation,Multifamily_Exposure,Affordable_Only,Sunbelt_Flag,AUM_Bucket,Fit_Score,Source_List,Notes_Analyst,Evidence_URL,Last_Updated,Analyst_Owner
A0011,Sample Family Office 11,sample11.andessample.com,US - Sunbelt,US,Family Office,No,Yes,No,Yes,3-5B,80,Mock Data v1,Sample Family Office account #11 in US - Sunbelt with 3-5B AUM bucket.,https://sample11.andessample.com/portfolio,2025-11-20,Martin
A0012,Sample Other 12,sample12.andessample.com,US - Gateway,US,Other,Yes,Yes,No,No,>5B,82,Mock Data v1,Sample Other account #12 in US - Gateway with >5B AUM bucket.,https://sample12.andessample.com/portfolio,2025-11-20,Equipo SDR
A0013,Sample Asset Manager 13,sample13.andessample.com,US - Secondary,US,Asset Manager,Yes,No,No,No,<1B,84,Mock Data v1,Sample Asset Manager account #13 in US - Secondary with <1B AUM bucket.,https://sample13.andessample.com/portfolio,2025-11-20,Capitan
A0014,Sample Developer 14,sample14.andessample.com,Chile - RM,CL,Developer,Yes,Yes,No,No,1-3B,86,Mock Data v1,Sample Developer account #14 in Chile - RM with 1-3B AUM bucket.,https://sample14.andessample.com/portfolio,2025-11-20,Martin
A0015,Sample Family Office 15,sample15.andessample.com,Chile - V Region,CL,Family Office,Yes,Yes,Yes,No,3-5B,88,Mock Data v1,Sample Family Office account #15 in Chile - V Region with 3-5B AUM bucket.,https://sample15.andessample.com/portfolio,2025-11-20,Equipo SDR
A0016,Sample Other 16,sample16.andessample.com,US - Sunbelt,US,Other,No,No,No,Yes,>5B,90,Mock Data v1,Sample Other account #16 in US - Sunbelt with >5B AUM bucket.,https://sample16.andessample.com/portfolio,2025-11-20,Capitan
A0017,Sample Asset Manager 17,sample17.andessample.com,US - Gateway,US,Asset Manager,Yes,Yes,No,No,<1B,92,Mock Data v1,Sample Asset Manager account #17 in US - Gateway with <1B AUM bucket.,https://sample17.andessample.com/portfolio,2025-11-20,Martin
A0018,Sample Developer 18,sample18.andessample.com,US - Secondary,US,Developer,Yes,Yes,No,No,1-3B,94,Mock Data v1,Sample Developer account #18 in US - Secondary with 1-3B AUM bucket.,https://sample18.andessample.com/portfolio,2025-11-20,Equipo SDR
A0019,Sample Family Office 19,sample19.andessample.com,Chile - RM,CL,Family Office,Yes,No,No,No,3-5B,96,Mock Data v1,Sample Family Office account #19 in Chile - RM with 3-5B AUM bucket.,https://sample19.andessample.com/portfolio,2025-11-20,Capitan
A0020,Sample Other 20,sample20.andessample.com,Chile - V Region,CL,Other,Yes,Yes,No,No,>5B,98,Mock Data v1,Sample Other account #20 in Chile - V Region with >5B AUM bucket.,https://sample20.andessample.com/portfolio,2025-11-20,Martin
A0021,Sample Asset Manager 21,sample21.andessample.com,US - Sunbelt,US,Asset Manager,No,Yes,No,Yes,<1B,98,Mock Data v1,Sample Asset Manager account #21 in US - Sunbelt with <1B AUM bucket.,https://sample21.andessample.com/portfolio,2025-11-20,Equipo SDR
A0022,Sample Developer 22,sample22.andessample.com,US - Gateway,US,Developer,Yes,No,Yes,No,1-3B,98,Mock Data v1,Sample Developer account #22 in US - Gateway with 1-3B AUM bucket.,https://sample22.andessample.com/portfolio,2025-11-20,Capitan
A0023,Sample Family Office 23,sample23.andessample.com,US - Secondary,US,Family Office,Yes,Yes,No,No,3-5B,98,Mock Data v1,Sample Family Office account #23 in US - Secondary with 3-5B AUM bucket.,https://sample23.andessample.com/portfolio,2025-11-20,Martin
A0024,Sample Other 24,sample24.andessample.com,Chile - RM,CL,Other,Yes,Yes,No,No,>5B,98,Mock Data v1,Sample Other account #24 in Chile - RM with >5B AUM bucket.,https://sample24.andessample.com/portfolio,2025-11-20,Equipo SDR
A0025,Sample Asset Manager 25,sample25.andessample.com,Chile - V Region,CL,Asset Manager,Yes,No,No,No,<1B,98,Mock Data v1,Sample Asset Manager account #25 in Chile - V Region with <1B AUM bucket.,https://sample25.andessample.com/portfolio,2025-11-20,Capitan
